id,articulo,descripcion
56025,SILLON LC2 PARA 2 PERSONAS,"DISEÑO DE LE CORBUSIER, PIERRE JEANNERET Y CHARLOTTE PERRIAND. ESTRUCTURA CROMADA, COJINES EN ASIENTOS Y RESPALDOS DE POLIURETANO Y POLIESTER FORRADOS EN PIEL SCOZIA COLOR NEGRO CON COSTURAS A JUEGO, 130L."
38366,TELEVISOR,LCD 32 PLG PLASTICO NEGRO
41563,TELEVISOR,LCD 32 PLG PLASTICO NEGRO
41769,TELEVISOR,LCD 32 PLG PLASTICO NEGRO
53793,SILLA GORKA,"TAPIZADA EN PIEL, BASE PULIDA DE 5 PUNTAS CON RODAJAS Y BRAZOS"
56028,SILLA GORKA,"CON BRAZOS Y CON ESTRUCTURA EN ALUMINIO PULIDO Y ACABADO EN MADERA DE NOGAL M-685, SIN TAPIZAR,CON TACOS DE FIELTRO."
56029,SILLA GORKA,"CON BRAZOS Y CON ESTRUCTURA EN ALUMINIO PULIDO Y ACABADO EN MADERA DE NOGAL M-685, SIN TAPIZAR,CON TACOS DE FIELTRO."
56030,SILLA GORKA,"CON BRAZOS Y CON ESTRUCTURA EN ALUMINIO PULIDO Y ACABADO EN MADERA DE NOGAL M-685, SIN TAPIZAR,CON TACOS DE FIELTRO."
56031,SILLA GORKA,"CON BRAZOS Y CON ESTRUCTURA EN ALUMINIO PULIDO Y ACABADO EN MADERA DE NOGAL M-685, SIN TAPIZAR,CON TACOS DE FIELTRO."
56032,SILLA GORKA,"CON BRAZOS Y CON ESTRUCTURA EN ALUMINIO PULIDO Y ACABADO EN MADERA DE NOGAL M-685, SIN TAPIZAR,CON TACOS DE FIELTRO."
56033,SILLA GORKA,"CON BRAZOS Y CON ESTRUCTURA EN ALUMINIO PULIDO Y ACABADO EN MADERA DE NOGAL M-685, SIN TAPIZAR,CON TACOS DE FIELTRO."
56035,SILLA GORKA,"CON BRAZOS Y CON ESTRUCTURA EN ALUMINIO PULIDO Y ACABADO EN MADERA DE NOGAL M-685, SIN TAPIZAR,CON TACOS DE FIELTRO."
56036,SILLA GORKA,"CON BRAZOS Y CON ESTRUCTURA EN ALUMINIO PULIDO Y ACABADO EN MADERA DE NOGAL M-685, SIN TAPIZAR,CON TACOS DE FIELTRO."
56037,SILLA GORKA,"CON BRAZOS Y CON ESTRUCTURA EN ALUMINIO PULIDO Y ACABADO EN MADERA DE NOGAL M-685, SIN TAPIZAR,CON TACOS DE FIELTRO."
56038,SILLA GORKA,"CON BRAZOS Y CON ESTRUCTURA EN ALUMINIO PULIDO Y ACABADO EN MADERA DE NOGAL M-685, SIN TAPIZAR,CON TACOS DE FIELTRO."
56039,SILLA GORKA,"CON BRAZOS Y CON ESTRUCTURA EN ALUMINIO PULIDO Y ACABADO EN MADERA DE NOGAL M-685, SIN TAPIZAR,CON TACOS DE FIELTRO."
56040,SILLA GORKA,"CON BRAZOS Y CON ESTRUCTURA EN ALUMINIO PULIDO Y ACABADO EN MADERA DE NOGAL M-685, SIN TAPIZAR,CON TACOS DE FIELTRO."
56041,SILLA GORKA,"CON BRAZOS Y CON ESTRUCTURA EN ALUMINIO PULIDO Y ACABADO EN MADERA DE NOGAL M-685, SIN TAPIZAR,CON TACOS DE FIELTRO."
56042,SILLA GORKA,"CON BRAZOS Y CON ESTRUCTURA EN ALUMINIO PULIDO Y ACABADO EN MADERA DE NOGAL M-685, SIN TAPIZAR,CON TACOS DE FIELTRO."
56043,SILLA GORKA,"CON BRAZOS Y CON ESTRUCTURA EN ALUMINIO PULIDO Y ACABADO EN MADERA DE NOGAL M-685, SIN TAPIZAR,CON TACOS DE FIELTRO."
56044,MESA CARMA,"100 CM DE DIAMETRO, PIE LARGO CROMADO CON ENCIMERA EN MADERA DE NOGAL AMERICANO (M-685)"
56045,MESA CARMA,"100 CM DE DIAMETRO, PIE LARGO CROMADO CON ENCIMERA EN MADERA DE NOGAL AMERICANO (M-685)"
56046,MESA CARMA,"100 CM DE DIAMETRO, PIE LARGO CROMADO CON ENCIMERA EN MADERA DE NOGAL AMERICANO (M-685)"
56047,MESA CARMA,"100 CM DE DIAMETRO, PIE LARGO CROMADO CON ENCIMERA EN MADERA DE NOGAL AMERICANO (M-685)"
63272,MESA PARA COMEDOR REDONDA FORMAICA CAFE,
63273,MESA PARA COMEDOR REDONDA FORMAICA CAFE,
63274,MESA PARA COMEDOR REDONDA FORMAICA CAFE,
63275,MESA PARA COMEDOR REDONDA FORMAICA CAFE,
63276,MESA PARA COMEDOR REDONDA FORMAICA CAFE,
63277,MESA PARA COMEDOR REDONDA FORMAICA CAFE,
63278,MESA PARA COMEDOR REDONDA FORMAICA CAFE,
63279,MESA PARA COMEDOR REDONDA FORMAICA CAFE,
63280,MESA PARA COMEDOR REDONDA FORMAICA CAFE,
63281,MESA PARA COMEDOR REDONDA FORMAICA CAFE,
63282,MESA PARA COMEDOR REDONDA FORMAICA CAFE,
63284,MESA PARA COMEDOR REDONDA FORMAICA CAFE,
63287,SILLA FIJA MADERA CAFE,
63288,SILLA FIJA MADERA CAFE,
63289,SILLA FIJA MADERA CAFE,
63290,SILLA FIJA MADERA CAFE,
63291,SILLA FIJA MADERA CAFE,
63292,SILLA FIJA MADERA CAFE,
63293,SILLA FIJA MADERA CAFE,
63294,SILLA FIJA MADERA CAFE,
63295,SILLA FIJA MADERA CAFE,
63296,SILLA FIJA MADERA CAFE,
63297,SILLA FIJA MADERA CAFE,
63298,SILLA FIJA MADERA CAFE,
63299,SILLA FIJA MADERA CAFE,
63300,SILLA FIJA MADERA CAFE,
63301,SILLA FIJA MADERA CAFE,
63302,SILLA FIJA MADERA CAFE,
63303,SILLA FIJA MADERA CAFE,
63304,SILLA FIJA MADERA CAFE,
63305,SILLA FIJA MADERA CAFE,
63306,SILLA FIJA MADERA CAFE,
63307,SILLA FIJA MADERA CAFE,
63308,SILLA FIJA MADERA CAFE,
63309,SILLA FIJA MADERA CAFE,
63310,SILLA FIJA MADERA CAFE,
63311,SILLA FIJA MADERA CAFE,
63312,SILLA FIJA MADERA CAFE,
63313,SILLA FIJA MADERA CAFE,
63314,SILLA FIJA MADERA CAFE,
63315,SILLA FIJA MADERA CAFE,
63316,SILLA FIJA MADERA CAFE,
63317,SILLA FIJA MADERA CAFE,
63318,SILLA FIJA MADERA CAFE,
63319,SILLA FIJA MADERA CAFE,
63320,SILLA FIJA MADERA CAFE,
63321,SILLA FIJA MADERA CAFE,
63322,SILLA FIJA MADERA CAFE,
63324,SILLA FIJA MADERA CAFE,
63325,SILLA FIJA MADERA CAFE,
63326,SILLA FIJA MADERA CAFE,
63327,SILLA FIJA MADERA CAFE,
63328,SILLA FIJA MADERA CAFE,
63329,SILLA FIJA MADERA CAFE,
63330,SILLA FIJA MADERA CAFE,
63331,SILLA FIJA MADERA CAFE,
63332,SILLA FIJA MADERA CAFE,
63333,SILLA FIJA MADERA CAFE,
63334,SILLA FIJA MADERA CAFE,
63335,SILLA FIJA MADERA CAFE,
63336,SILLA FIJA MADERA CAFE,
63337,SILLA FIJA MADERA CAFE,
63338,SILLA FIJA MADERA CAFE,
63339,SILLA FIJA MADERA CAFE,
63340,SILLA FIJA,MADERA CAFE
55996,SILLON LC2 PARA 3 PERSONAS,"DISEÑO DE LE CORBUSIER, PIERRE JEANNERET Y CHARLOTTE PERRIAND. ESTRUCTURA CROMADA, COJINES EN ASIENTOS Y RESPALDOS DE POLIURETANO Y POLIESTER FORRADOS EN PIEL SCOZIA COLOR NEGRO CON COSTURAS A JUEGO, 180L."
56001,SILLON LC2 PARA 3 PERSONAS,"DISEÑO DE LE CORBUSIER, PIERRE JEANNERET Y CHARLOTTE PERRIAND. ESTRUCTURA CROMADA, COJINES EN ASIENTOS Y RESPALDOS DE POLIURETANO Y POLIESTER FORRADOS EN PIEL SCOZIA COLOR NEGRO CON COSTURAS A JUEGO, 180L."
56003,SILLON LC2 PARA 3 PERSONAS,"DISEÑO DE LE CORBUSIER, PIERRE JEANNERET Y CHARLOTTE PERRIAND. ESTRUCTURA CROMADA, COJINES EN ASIENTOS Y RESPALDOS DE POLIURETANO Y POLIESTER FORRADOS EN PIEL SCOZIA COLOR NEGRO CON COSTURAS A JUEGO, 180L."
56004,SILLON LC2 PARA 2 PERSONAS,"DISEÑO DE LE CORBUSIER, PIERRE JEANNERET Y CHARLOTTE PERRIAND. ESTRUCTURA CROMADA, COJINES EN ASIENTOS Y RESPALDOS DE POLIURETANO Y POLIESTER FORRADOS EN PIEL SCOZIA COLOR NEGRO CON COSTURAS A JUEGO, 130L."
56006,SILLON LC2 PARA 2 PERSONAS,"DISEÑO DE LE CORBUSIER, PIERRE JEANNERET Y CHARLOTTE PERRIAND. ESTRUCTURA CROMADA, COJINES EN ASIENTOS Y RESPALDOS DE POLIURETANO Y POLIESTER FORRADOS EN PIEL SCOZIA COLOR NEGRO CON COSTURAS A JUEGO, 130L."
56007,SILLON LC2 PARA 2 PERSONAS,"DISEÑO DE LE CORBUSIER, PIERRE JEANNERET Y CHARLOTTE PERRIAND. ESTRUCTURA CROMADA, COJINES EN ASIENTOS Y RESPALDOS DE POLIURETANO Y POLIESTER FORRADOS EN PIEL SCOZIA COLOR NEGRO CON COSTURAS A JUEGO, 130L."
56008,SILLON LC2 PARA 3 PERSONAS,"DISEÑO DE LE CORBUSIER, PIERRE JEANNERET Y CHARLOTTE PERRIAND. ESTRUCTURA CROMADA, COJINES EN ASIENTOS Y RESPALDOS DE POLIURETANO Y POLIESTER FORRADOS EN PIEL SCOZIA COLOR NEGRO CON COSTURAS A JUEGO, 180L."
56011,SILLON LC2 PARA 2 PERSONAS,"DISEÑO DE LE CORBUSIER, PIERRE JEANNERET Y CHARLOTTE PERRIAND. ESTRUCTURA CROMADA, COJINES EN ASIENTOS Y RESPALDOS DE POLIURETANO Y POLIESTER FORRADOS EN PIEL SCOZIA COLOR NEGRO CON COSTURAS A JUEGO, 130L."
56012,SILLON LC3 PARA 1 PERSONA,"DISEÑO DE LE CORBUSIER, PIERRE JEANNERET Y CHARLOTTE PERRIAND. ESTRUCTURA CROMADA, COJINES EN ASIENTOS Y RESPALDOS DE POLIURETANO Y POLIESTER FORRADOS EN PIEL SCOZIA COLOR NEGRO CON COSTURAS A JUEGO, 99L."
56013,SILLON LC2 PARA 3 PERSONAS,"DISEÑO DE LE CORBUSIER, PIERRE JEANNERET Y CHARLOTTE PERRIAND. ESTRUCTURA CROMADA, COJINES EN ASIENTOS Y RESPALDOS DE POLIURETANO Y POLIESTER FORRADOS EN PIEL SCOZIA COLOR NEGRO CON COSTURAS A JUEGO, 180L."
56015,SILLON LC2 PARA 3 PERSONAS,"DISEÑO DE LE CORBUSIER, PIERRE JEANNERET Y CHARLOTTE PERRIAND. ESTRUCTURA CROMADA, COJINES EN ASIENTOS Y RESPALDOS DE POLIURETANO Y POLIESTER FORRADOS EN PIEL SCOZIA COLOR NEGRO CON COSTURAS A JUEGO, 180L."
56023,SILLON LC3 PARA 1 PERSONA,"DISEÑO DE LE CORBUSIER, PIERRE JEANNERET Y CHARLOTTE PERRIAND. ESTRUCTURA CROMADA, COJINES EN ASIENTOS Y RESPALDOS DE POLIURETANO Y POLIESTER FORRADOS EN PIEL SCOZIA COLOR NEGRO CON COSTURAS A JUEGO, 99L."
56026,SILLON LC2 PARA 2 PERSONAS,"DISEÑO DE LE CORBUSIER, PIERRE JEANNERET Y CHARLOTTE PERRIAND. ESTRUCTURA CROMADA, COJINES EN ASIENTOS Y RESPALDOS DE POLIURETANO Y POLIESTER FORRADOS EN PIEL SCOZIA COLOR NEGRO CON COSTURAS A JUEGO, 130L."
60407,SOFA UNA PLAZA,VINIL NEGRO
60408,SOFA UNA PLAZA,VINIL NEGRO
60546,SILLA APILABLE PLASTICO NEGRO,
65504,MESA ESQUINERA,MADERA CAFE
56021,SILLA GORKA,"RESPALDO Y ASIENTO TAPIZADO EN TELA GRIS, BASE DE 4 PUNTAS METALICA PINTADA Y BRAZOS."
61719,TELEVISOR PANTALLA 32 PLG.,
62518,MESA,DE CRISTAL CUADRADA
62813,SILLA DE ALUMINIO,
62814,SILLA DE ALUMINIO,
62815,SILLA DE ALUMINIO,
62816,SILLA DE ALUMINIO,
62817,SILLA DE ALUMINIO,
62818,SILLA DE ALUMINIO,
62819,SILLA DE ALUMINIO,
62820,SILLA DE ALUMINIO,
62821,SILLA DE ALUMINIO,
62822,SILLA DE ALUMINIO,
62823,SILLA DE ALUMINIO,
62824,SILLA DE ALUMINIO,
1345,MESA DE TRABAJO,MADERA CAFE
16867,MESA DE TRABAJO,FORMAICA CAFE
34407,MESA DE COMPUTO,MADERA VINO
40220,MESA DE TRABAJO,MADERA VINO
50456,SILLA DOS OPERATIVA,"ELEVACION NEUMATICA, RESPALDO EN MALLA, ASIENTO TAPIZADO EN TELA IMPORTADA, NEGRO, BASE DE 5 PUNTAS CON RODAJAS Y BRAZOS."
50512,SILLA DOS OPERATIVA,"ELEVACION NEUMATICA, RESPALDO EN MALLA, ASIENTO TAPIZADO EN TELA IMPORTADA, NEGRO, BASE DE 5 PUNTAS CON RODAJAS Y BRAZOS."
50676,SILLA DOS OPERATIVA,"ELEVACION NEUMATICA, RESPALDO EN MALLA, ASIENTO TAPIZADO EN TELA IMPORTADA, NEGRO, BASE DE 5 PUNTAS CON RODAJAS Y BRAZOS."
51269,SILLA DOS OPERATIVA,"ELEVACION NEUMATICA, RESPALDO EN MALLA, ASIENTO TAPIZADO EN TELA IMPORTADA, NEGRO, BASE DE 5 PUNTAS CON RODAJAS Y BRAZOS."
64941,IMPRESORA,A COLOR LASERJET
66635,ESCANER,PLASTICO NEGRO
6987,MESA MULTIUSOS,MADERA CAFE
9943,ESCRITORIO,FORMAICA GRIS
32026,SILLA SECRETARIAL,PLIANA NEGRO
52566,SILLA DE OFICINA FIGURA II,"DISEÑO DE MARIO BELLINI. BASE CROMADA DE 5 RUEDAS PARA PISO DURO, ASIENTO Y RESPALDO EN PIEL COLOR NEGRO, BRAZOS FORRADOS EN PIEL COLOR NEGRO, CINTURON CENTRAL EN PIEL COLOR NEGRO, CON LOGOTIPO DEL SENADO GRABADO EN LA PARTE ALTA DEL RESPALDO."
55711,SOFA GRAND SALON DE 2 PLAZAS,"TAPIZADO EN PIEL, BASE DE ALUMINIO."
55809,SILLA GORKA BASIC,SIN BRAZOS CON BASE CROMADA BRILLO Y CARCASA EN POLIAMIDA COLOR GRIS C 052. TAPICERIA SUPLEMENTARIA MARCANDO ASIENTO Y RESPALDO EN PARTE FRONTAL EN TELA T-C126.
63011,SILLA APILABLE,PLASTICO NEGRO
22489,SILLA SECRETARIAL,PLIANA AZUL
26192,ARCHIVERO MADERA,2 CAJONES 1 GAVETA NEGRO
28659,MESA DE TRABAJO,MADERA VINO
32095,ESCRITORIO,MADERA VINO
40653,MESA DE TRABAJO,MADERA VINO
50609,SILLA DOS OPERATIVA,"ELEVACION NEUMATICA, RESPALDO EN MALLA, ASIENTO TAPIZADO EN TELA IMPORTADA, NEGRO, BASE DE 5 PUNTAS CON RODAJAS Y BRAZOS."
50708,SILLA DOS OPERATIVA,"ELEVACION NEUMATICA, RESPALDO EN MALLA, ASIENTO TAPIZADO EN TELA IMPORTADA, NEGRO, BASE DE 5 PUNTAS CON RODAJAS Y BRAZOS."
50761,SILLA DOS OPERATIVA,"ELEVACION NEUMATICA, RESPALDO EN MALLA, ASIENTO TAPIZADO EN TELA IMPORTADA, NEGRO, BASE DE 5 PUNTAS CON RODAJAS Y BRAZOS."
64771,MESA DE TRABAJO,MADERA VINO
66472,PERCHERO MADERA,CAFE
66554,TELEVISOR,PANTALLA LED 32 PLG
40915,SILLA APILABLE,PLASTICO NEGRO
28717,ARCHIVERO MADERA,2 CAJONES 1 GAVETA VINO
31135,ARCHIVERO MADERA,2 CAJONES 1 GAVETA VINO
32122,PERCHERO,MIXTO NEGRO
48208,SILLA DOS OPERATIVA,"ELEVACION NEUMATICA, RESPALDO EN MALLA, ASIENTO TAPIZADO EN TELA IMPORTADA, NEGRO, BASE DE 5 PUNTAS CON RODAJAS Y BRAZOS."
48954,SILLA DOS OPERATIVA,"ELEVACION NEUMATICA, RESPALDO EN MALLA, ASIENTO TAPIZADO EN TELA IMPORTADA, NEGRO, BASE DE 5 PUNTAS CON RODAJAS Y BRAZOS."
52646,SILLA DOS OPERATIVA,"ELEVACION NEUMATICA, RESPALDO EN MALLA, ASIENTO TAPIZADO EN TELA IMPORTADA, NEGRO, BASE DE 5 PUNTAS CON RODAJAS Y BRAZOS."
54433,MODULO FENG AUTOSOPORTADO,"ACABADO EN CHAPA DE MADERA CON ESTRUCTURA DE ALUMINIO PINTADO, FORMADO POR ESCRITORIO RECTO, CREDENZA LATERAL CON CAJONERA Y UN CONTENEDOR O CAJONERA"
54434,SILLA DIS EJECUTIVA,"RESPALDO ALTO EN MALLA, ASIENTO TAPIZADO EN PIEL, ELEVACION NEUMATICA, BASE DE 5 PUNTAS CON RODAJAS Y BRAZOS."
54436,SILLA DIS DE VISITA,"RESPALDO EN MALLA, ASIENTO TAPIZADO EN TELA IMPORTADA, BASE METALICA PINTADA CON REGATONES Y BRAZOS."
54437,SILLA DIS DE VISITA,"RESPALDO EN MALLA, ASIENTO TAPIZADO EN TELA IMPORTADA, BASE METALICA PINTADA CON REGATONES Y BRAZOS."
54440,SILLA DIS DE VISITA,"RESPALDO EN MALLA, ASIENTO TAPIZADO EN TELA IMPORTADA, BASE METALICA PINTADA CON REGATONES Y BRAZOS."
54441,MESA FENG CUADRADA,"ACABADA EN CHAPA DE MADERA CON ESTRUCTURA DE ALUMINIO PINTADO, HABILITADA PARA CONEXIONES."
54442,MODULO TEC,"FORMADO POR MAMPARAS METALICAS, BIOMBOS LATERALES DE ACRILICO, CUBIERTAS EN LAMINADO PLASTICO, GABINETE A PANEL CON FRENTE EN LAMINADO PLASTICO, 2 MODULOS EN L."
54444,MODULO TEC,"FORMADO POR MAMPARAS METALICAS, BIOMBOS LATERALES DE ACRILICO, CUBIERTAS EN LAMINADO PLASTICO, GABINETE A PANEL CON FRENTE EN LAMINADO PLASTICO, 2 MODULOS EN L."
54450,SILLA DOS OPERATIVA,"ELEVACION NEUMATICA, RESPALDO EN MALLA, ASIENTO TAPIZADO EN TELA IMPORTADA, NEGRO, BASE DE 5 PUNTAS CON RODAJAS Y BRAZOS."
56070,SILLA DOS OPERATIVA,"ELEVACION NEUMATICA, RESPALDO EN MALLA, ASIENTO TAPIZADO EN TELA IMPORTADA, NEGRO, BASE DE 5 PUNTAS CON RODAJAS Y BRAZOS."
60910,PANTALLA LED,32 PLG PLASTICO NEGRO
60948,PANTALLA LED,32 PLG PLASTICO NEGRO
61769,"SILLA OPERATIVA DE ELEVACION NEUMATICA, RESPALDO EN MALLA","Y ASIENTO EN TELA, COLOR NEGRO"
61797,MUEBLE ESPECIAL 4 PUERTAS 2 CAJONES MADERA CEREZO 1.76X1.00 M,
61798,MUEBLE ESPECIAL 2 PUERTAS 2 CAJONES MADERA CEREZO DE 1.10X1.00M,
61799,MUEBLE ESPECIAL 2 PUERTAS 2 CAJONES MADERA CEREZO DE 1.10X1.00M,
61800,MUEBLE ESPECIAL 2 ENTREPAÑOS MADERA CEREZO,
62196,SILLA OPERATIVA,"DE ELEVACION NEUMATICA, RESPALDO EN MALLA Y ASIENTO EN TELA, BASE DE 5 PUNTAS CON RODAJAS Y BRAZOS FIJOS"
65429,LIBRERO,4 PUERTAS MADERA CAFE
65956,TRITURADORA DE DOCUMENTOS,PLASTICO
73214,CAPSULA TRANSPORTADORA DE DOCUMENTOS,"PARA SISTEMA NEUMATICO DE ENVIO, DE POLICARBONATO Y PLASTICO EN 160 MM DE DIAMETRO CON CAPACIDAD MAXIMA PARA TRANSPORTAR 1 KG DE PESO UNICAMENTE EN PAPEL"
5298,SILLON 2 PLAZAS,VINIL NEGRO
20192,MESA MULTIUSOS,FORMAICA CAFE
30300,PERCHERO MADERA,VINO
50568,SILLA DOS OPERATIVA,"ELEVACION NEUMATICA, RESPALDO EN MALLA, ASIENTO TAPIZADO EN TELA IMPORTADA, NEGRO, BASE DE 5 PUNTAS CON RODAJAS Y BRAZOS."
54454,MODULO FENG AUTOSOPORTADO,"ACABADO EN CHAPA DE MADERA CON ESTRUCTURA DE ALUMINIO PINTADO, FORMADO POR ESCRITORIO RECTO, CREDENZA LATERAL CON CAJONERA Y UN CONTENEDOR O CAJONERA"
54455,SILLA DIS EJECUTIVA,"RESPALDO ALTO EN MALLA, ASIENTO TAPIZADO EN PIEL, ELEVACION NEUMATICA, BASE DE 5 PUNTAS CON RODAJAS Y BRAZOS."
54456,SILLA DIS DE VISITA,"RESPALDO EN MALLA, ASIENTO TAPIZADO EN TELA IMPORTADA, BASE METALICA PINTADA CON REGATONES Y BRAZOS."
54457,SILLA DIS DE VISITA,"RESPALDO EN MALLA, ASIENTO TAPIZADO EN TELA IMPORTADA, BASE METALICA PINTADA CON REGATONES Y BRAZOS."
54458,SILLA DIS DE VISITA,"RESPALDO EN MALLA, ASIENTO TAPIZADO EN TELA IMPORTADA, BASE METALICA PINTADA CON REGATONES Y BRAZOS."
54459,SILLA DIS DE VISITA,"RESPALDO EN MALLA, ASIENTO TAPIZADO EN TELA IMPORTADA, BASE METALICA PINTADA CON REGATONES Y BRAZOS."
54460,SILLA DIS DE VISITA,"RESPALDO EN MALLA, ASIENTO TAPIZADO EN TELA IMPORTADA, BASE METALICA PINTADA CON REGATONES Y BRAZOS."
54461,SILLA DIS DE VISITA,"RESPALDO EN MALLA, ASIENTO TAPIZADO EN TELA IMPORTADA, BASE METALICA PINTADA CON REGATONES Y BRAZOS."
54462,MESA FENG CUADRADA,"ACABADA EN CHAPA DE MADERA CON ESTRUCTURA DE ALUMINIO PINTADO, HABILITADA PARA CONEXIONES."
54463,MODULO TEC,"FORMADO POR MAMPARAS METALICAS, BIOMBOS LATERALES DE ACRILICO, CUBIERTAS EN LAMINADO PLASTICO, GABINETE A PANEL CON FRENTE EN LAMINADO PLASTICO, 2 MODULOS EN L."
